"filename", "language", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "JavaScript", "CSS", "YAML", "TypeScript JSX", "MS SQL", "Properties", "XML", "comment", "blank", "total"
"c:\Users\jimzord12\GitHub\edu-game-magnetism\src\db\services\gameSession.service.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 12, 117
"c:\Users\jimzord12\GitHub\edu-game-magnetism\src\db\services\player.service.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 10, 109
"c:\Users\jimzord12\GitHub\edu-game-magnetism\src\db\types.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"c:\Users\jimzord12\GitHub\edu-game-magnetism\src\features\games\electroMagnets\components\ElectroGameCanvas.css", "CSS", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 6, 43
"c:\Users\jimzord12\GitHub\edu-game-magnetism\src\features\games\electroMagnets\components\ElectroGameCanvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 7, 48
"c:\Users\jimzord12\GitHub\edu-game-magnetism\src\features\games\electroMagnets\slices\electroGameSlice.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 95
"c:\Users\jimzord12\GitHub\edu-game-magnetism\src\features\games\magnets\components\MagnetGameCanvas.css", "CSS", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 6, 43
"c:\Users\jimzord12\GitHub\edu-game-magnetism\src\features\games\magnets\components\MagnetGameCanvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 7, 48
"c:\Users\jimzord12\GitHub\edu-game-magnetism\src\features\games\magnets\hooks\useGameEngine.ts", "TypeScript", 0, 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 48, 385
"c:\Users\jimzord12\GitHub\edu-game-magnetism\src\features\games\magnets\slices\magnetGameSlice.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 95
